simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
965	2018-02-10 05:00:00	1548.749680119101	0	1548.749680119101	0	0.0	617.250319880899	345.50131368123255	0	680.7677119726403	0	
966	2018-02-10 06:00:00	1647.4468078551704	0	1647.4468078551704	0	0.0	518.5531921448296	367.5190662768321	0	731.7082338013369	0	
967	2018-02-10 07:00:00	1615.8396715262093	0	1615.8396715262093	0	0.0	550.1603284737907	360.4680190588478	0	717.8150151896502	0	
968	2018-02-10 08:00:00	1636.9110957455168	0	1636.9110957455168	0	0.0	529.0889042544832	365.16871720417066	0	727.0771609307747	0	
969	2018-02-10 09:00:00	1652.7146639099974	0	1652.7146639099974	0	0.0	513.2853360900026	368.6942408131629	0	734.023770236618	0	
970	2018-02-10 10:00:00	1615.8396715262093	0	1615.8396715262093	0	0.0	550.1603284737907	360.4680190588478	0	717.8150151896502	0	
971	2018-02-10 11:00:00	1573.6968230875943	0	1573.6968230875943	0	0.0	592.3031769124057	351.066622768202	0	699.2907237074016	0	
972	2018-02-10 12:00:00	1515.7504064844989	0	1515.7504064844989	0	0.0	650.2495935155011	408.1189460118928	0	883.9582737266591	0	
973	2018-02-10 13:00:00	1447.2682777717496	0	1447.2682777717496	0	0.0	718.7317222282504	389.67999058009434	0	843.5085733237036	0	
974	2018-02-10 14:00:00	1347.1790127300387	0	1347.1790127300387	0	0.0	818.8209872699613	362.73074802592737	0	784.3897804270763	0	
975	2018-02-10 15:00:00	1241.8218916335013	0	1241.8218916335013	0	0.0	924.1781083664987	334.363124284699	0	722.1594721148372	0	
976	2018-02-10 16:00:00	1215.4826113593667	0	1215.4826113593667	0	0.0	950.5173886406333	327.2712183493918	0	706.6018950367773	0	
977	2018-02-10 17:00:00	1252.3576037431549	0	1252.3576037431549	0	0.0	913.6423962568451	337.1998866588217	0	728.3825029460611	0	
978	2018-02-10 18:00:00	1331.3754445655582	0	1331.3754445655582	0	0.0	834.6245554344418	358.47560446474307	0	775.0552341802404	0	
979	2018-02-10 19:00:00	1431.4647096072688	0	1431.4647096072686	0	0.0	734.5352903927314	385.42484701891	0	834.1740270768678	0	
