simulation_time	physical_time	flexible_loads.LVE.energy	flexible_loads.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
369	2021-01-16 09:00:00	1500	0.2	7760.008048776179	0.2	
370	2021-01-16 10:00:00	1500	0.2	6646.025691997627	0.2	
371	2021-01-16 11:00:00	1500	0.2	5525.944035721456	0.2	
372	2021-01-16 12:00:00	1500	0.2	4958.620422481837	0.2	
373	2021-01-16 13:00:00	1500	0.2	6782.513266832099	0.2	
374	2021-01-16 14:00:00	1500	0.2	7889.940795613772	0.2	
375	2021-01-16 15:00:00	1500	0.2	8862.171139511787	0.2	
376	2021-01-16 16:00:00	1500	0.2	11278.024461917938	0.2	
377	2021-01-16 17:00:00	1500	0.18	12309.369154192478	0.18	
378	2021-01-16 18:00:00	1500	0.18	13559.65468740184	0.18	
379	2021-01-16 19:00:00	1500	0.18	16157.421654725444	0.18	
380	2021-01-16 20:00:00	1500	0.18	18064.41830062795	0.18	
381	2021-01-16 21:00:00	1500	0.2	17796.243430068283	0.2	
382	2021-01-16 22:00:00	1500	0.2	16385.74970442428	0.2	
383	2021-01-16 23:00:00	1500	0.2	14341.70942343181	0.2	
384	2021-01-17 00:00:00	1500	0.2	11293.277808775532	0.2	
385	2021-01-17 01:00:00	1500	0.2	10851.189338042499	0.2	
386	2021-01-17 02:00:00	1500	0.2	10200.902573681615	0.2	
387	2021-01-17 03:00:00	1500	0.2	9341.709154409886	0.2	
