simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
3069	2018-05-08 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3070	2018-05-08 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3071	2018-05-08 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3072	2018-05-09 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3073	2018-05-09 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3074	2018-05-09 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3075	2018-05-09 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3076	2018-05-09 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3077	2018-05-09 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3078	2018-05-09 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3079	2018-05-09 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3080	2018-05-09 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3081	2018-05-09 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3082	2018-05-09 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3083	2018-05-09 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3084	2018-05-09 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3085	2018-05-09 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3086	2018-05-09 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3087	2018-05-09 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3088	2018-05-09 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3089	2018-05-09 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3090	2018-05-09 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3091	2018-05-09 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3092	2018-05-09 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3093	2018-05-09 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3094	2018-05-09 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3095	2018-05-09 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3096	2018-05-10 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3097	2018-05-10 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3098	2018-05-10 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3099	2018-05-10 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3100	2018-05-10 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3101	2018-05-10 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3102	2018-05-10 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3103	2018-05-10 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3104	2018-05-10 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3105	2018-05-10 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3106	2018-05-10 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3107	2018-05-10 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3108	2018-05-10 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3109	2018-05-10 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3110	2018-05-10 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3111	2018-05-10 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3112	2018-05-10 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3113	2018-05-10 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3114	2018-05-10 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3115	2018-05-10 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3116	2018-05-10 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3117	2018-05-10 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
