simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
2553	2018-04-17 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2554	2018-04-17 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2555	2018-04-17 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2556	2018-04-17 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2557	2018-04-17 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2558	2018-04-17 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2559	2018-04-17 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2560	2018-04-17 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2561	2018-04-17 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2562	2018-04-17 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2563	2018-04-17 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2564	2018-04-17 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2565	2018-04-17 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2566	2018-04-17 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2567	2018-04-17 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2568	2018-04-18 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2569	2018-04-18 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2570	2018-04-18 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2571	2018-04-18 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2572	2018-04-18 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2573	2018-04-18 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2574	2018-04-18 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2575	2018-04-18 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2576	2018-04-18 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2577	2018-04-18 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2578	2018-04-18 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2579	2018-04-18 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2580	2018-04-18 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2581	2018-04-18 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2582	2018-04-18 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2583	2018-04-18 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2584	2018-04-18 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
